personal_code,product_number,score
1905-09-20-0008,5100141101316677,4
1905-09-20-0008,5100139171504008,8
1905-09-20-0008,5100136474971488,7
1905-09-20-0008,5100136435344635,7
1905-09-20-0008,5100134495803228,7
1905-09-20-0008,5100134458786071,4
1905-09-20-0008,5100133454026508,4
1905-09-20-0008,5100131306731994,6
1902-05-03-0006,5100179457607877,0
1902-05-03-0006,5100178236803880,3
1902-05-03-0006,5100177720106768,8
1902-05-03-0006,5100175497684454,7
1902-05-03-0006,5100174100138222,7
1902-05-03-0006,5100149547934623,6
1902-05-03-0006,5100149528096608,10
1902-05-03-0006,5100148070294587,0
1902-05-03-0006,5100143716855230,0
1902-05-03-0006,5100143342926116,3
1902-05-03-0006,5100141101316677,8
1902-05-03-0006,5100140713963710,10
1902-05-03-0006,5100140102378546,0
1902-05-03-0006,5100139171504008,10
1902-05-03-0006,5100137483647388,2
1902-05-03-0006,5100136035476142,7
1902-05-03-0006,5100135736184724,8
1902-05-03-0006,5100133759460212,5
1902-05-03-0006,5100131306731994,10
